W 2 COMERCIAL RESTAURAÇÃO E MARKETING,Restaurante,R,Quintino Bocaiúva,1134, Vila Boa Vista,São Carlos, SP,13574-003,16,33724558
DECK ESFIHA & CIA,Restaurante,R,7 de Setembro,1835, Centro,São Carlos, SP,13560-180,16,33724916,33724948,33762557
ROTISSERIA MAIS SABOR,Restaurante,R,24,1100, Jardim Itamarati,São Carlos, SP,13568-190,16,33671271,33766211,991161876
LUNA PIZZARIA,Restaurante,Av,Doutor Carlos Botelho 1816 SL,10, Centro,São Carlos, SP,13560-250,16,991123221,991777543,992032805
COZINHA ITÁLIA,Restaurante,R,Dom Pedro II,1465, Vila Monteiro,São Carlos, SP,13560-320,16,33710007
DEVANIR APARECIDA DE SOUSA,Restaurante,R,Major Júlio Salles,995, Centro,São Carlos, SP,13561-010,16,31164939
RANCHO DA PICANHA,Restaurante,Av,Comendador Alfredo Maffei,1299, Jardim São Carlos,São Carlos, SP,13561-270,16,33075256
CHOPERIA BARRIL,Restaurante,Av,Trabalhador Sancarlense,25, Parque Arnold Schimidt,São Carlos, SP,13566-590,,
MARIA JOSÉ NAZARETH PEDRO,Restaurante,R,7 de Setembro 2067,2071, Centro,São Carlos, SP,13560-180,16,33661938,991240705,991863494
BARDA BELLA,Restaurante,R,Paulino Botelho de Abreu Sampaio,850, Jardim Bethânia,São Carlos, SP,13561-060,16,992155440,992384755
INÊS VALÉRIA SPARAPAN CAIXA,Restaurante,R,Jesuino de Arruda,1816, Jardim São Carlos,São Carlos, SP,13560-642,16,33747323
DENISE CRISTINA GASPAR MINUTTI,Restaurante,Al,Azaleias,526, Cidade Jardim,São Carlos, SP,13566-500,16,33645551,34152415,34157082
SUSHI-YA SAN,Restaurante,R,Tiradentes,128, Jardim Macarengo,São Carlos, SP,13560-430,16,33719096
GUSTATTORI COMFORT FOOD,Restaurante,R,Padre Teixeira,1666, Centro,São Carlos, SP,13560-210,16,34194300,34194301
TALENTHUS MUSIC BEER,Restaurante,R,Bento Carlos 330 E,332, Centreville,São Carlos, SP,13560-660,16,991450695,991451428
ELBERT ARON DE OLIVEIRA PAGANI,Restaurante,R,Oscar de Souza Geribelo,326, Jardim Santa Paula,São Carlos, SP,13564-031,16,33684644,33684817,33741817
FAST PIZZA DELIVERY,Restaurante,R,Padre Teixeira,1666 FDS, Centro,São Carlos, SP,13560-210,,
BELGA MIX - SÃO CARLOS CENTRO,Restaurante,Av,Comendador Alfredo Maffei,2365, Jardim São Carlos,São Carlos, SP,13561-270,16,34132513
JIN JIN WOK,Restaurante,Pso,Flamboyants,200 lj-16, Parque Faber,São Carlos, SP,13561-352,16,33721234
PICANHA NA TÁBUA II,Restaurante,Av,Francisco Pereira Lopes,2520, Jardim Paraíso,São Carlos, SP,13564-740,16,33611453,33069834,991544849
LANCHONETE BAITAKAO,Restaurante,Av,João Dagnone,220 CS A, Loteamento Habitacional São Carlos 1,São Carlos, SP,13563-120,,
CAFÉ COM ARTE,Restaurante,Av,São Carlos 261 CS,6, Vila Lutfalla,São Carlos, SP,13570-660,16,33682969
ALDA APARECIDA FERREIRA PETRONILLO,Restaurante,R,Bento Carlos,647 FDS, Centreville,São Carlos, SP,13560-660,16,997530154
LUÍS ANTÔNIO PINGUIERI,Restaurante,Av,Trabalhador Sancarlense,584, Parque Arnold Schimidt,São Carlos, SP,13566-590,16,33712819,33712873,34156367
CISCON & VOLTATONE,Restaurante,R,Cândido Padim,59, Vila Prado,São Carlos, SP,13574-320,16,33684409,33744404,992329126
VANDALICE ROSA DA SILVA MORAES,Restaurante,R,Professor José Ferraz Camargo,201 FRENTE, Vila Celina,São Carlos, SP,13566-440,16,981258283,981258675
MC DONALD'S,Restaurante,Av,São Carlos,3134, Centro,São Carlos, SP,13560-002,16,33747402
MC DONALD'S,Restaurante,Pso,Flamboyants,200 lj-33, Parque Faber,São Carlos, SP,13561-352,16,33715225
WEST BROTHERS,Restaurante,R,Inconfidentes,371, Parque Arnold Schimidt,São Carlos, SP,13566-581,16,34155717
COZINHA MINEIRA,Restaurante,Av,São Carlos,1895 SOB, Centro,São Carlos, SP,13560-010,,
THE PRINT SHOP EXPRESS SERVICE EMPRESA JORNALÍSTICA,Restaurante,R,Rio Tapajós,412, Jardim Jockei Club Área,São Carlos, SP,13565-080,16,33069104
ESSÊNCIA DO SABOR,Restaurante,R,Miguel Petroni,2401 lj-17, Centro,São Carlos, SP,13561-002,16,34125733
ADEGA EUROPEIA BEBIDAS E ALIMENTOS,Restaurante,Av,Salgado Filho,299, Vila Marina,São Carlos, SP,13566-350,,
DOSE DUPLA,Restaurante,Av,Professor Luiz Augusto de Oliveira 375 SL,1, Vila Marina,São Carlos, SP,13566-340,,
VIA MASSA,Restaurante,R,Major José Inácio 2131,2139, Centro,São Carlos, SP,13560-160,16,34125544
PIEMONTE IN TÁVOLA,Restaurante,R,9 de Julho,846, Centro,São Carlos, SP,13560-042,,
RECANTO ALMEIDA PRADO BAR E DOCERIA,Restaurante,Av,São Carlos,2662, Centro,São Carlos, SP,13560-002,16,33075806
